"ZIPCODE","CITY","COUNTY","ZIP_TYPE"
"11737","Farmingdale","Nassau","Standard"
"11738","Farmingville","Suffolk","Standard"
"11739","Great River","Suffolk","P.O. Box"
"11740","Greenlawn","Suffolk","Standard"
"11741","Holbrook","Suffolk","Standard"
"11742","Holtsville","Suffolk","Standard"
"11743","Huntington","Suffolk","Standard"
"11746","Huntington Station","Suffolk","Standard"
"11747","Melville","Suffolk","Standard"
"11749","Islandia","Suffolk","Standard"
"11751","Islip","Suffolk","Standard"
"11752","Islip Terrace","Suffolk","Standard"
"11753","Jericho","Nassau","Standard"
"11754","Kings Park","Suffolk","Standard"
"11755","Lake Grove","Suffolk","Standard"
"11756","Levittown","Nassau","Standard"
"11757","Lindenhurst","Suffolk","Standard"
"11758","Massapequa","Nassau","Standard"
"11760","Melville","Suffolk","P.O. Box"
"11762","Massapequa Park","Nassau","Standard"
"11763","Medford","Suffolk","Standard"
"11764","Miller Place","Suffolk","Standard"
"11765","Mill Neck","Nassau","Standard"
"11766","Mount Sinai","Suffolk","Standard"
"11767","Nesconset","Suffolk","Standard"
"11768","Northport","Suffolk","Standard"
"11769","Oakdale","Suffolk","Standard"
"11770","Ocean Beach","Suffolk","P.O. Box"
"11771","Oyster Bay","Nassau","Standard"
"11772","Patchogue","Suffolk","Standard"
"11773","Melville","Suffolk","Unique"
"11775","Melville","Suffolk","Unique"
"11776","Port Jefferson Station","Suffolk","Standard"
"11777","Port Jefferson","Suffolk","Standard"
"11778","Rocky Point","Suffolk","Standard"
"11779","Ronkonkoma","Suffolk","Standard"
"11780","Saint James","Suffolk","Standard"
"11782","Sayville","Suffolk","Standard"
"11783","Seaford","Nassau","Standard"
"11784","Selden","Suffolk","Standard"
"11786","Shoreham","Suffolk","Standard"
"11787","Smithtown","Suffolk","Standard"
"11788","Hauppauge","Suffolk","Standard"
"11789","Sound Beach","Suffolk","Standard"
"11790","Stony Brook","Suffolk","Standard"
"11791","Syosset","Nassau","Standard"
"11792","Wading River","Suffolk","Standard"
"11793","Wantagh","Nassau","Standard"
"11794","Stony Brook","Suffolk","Unique"
"11795","West Islip","Suffolk","Standard"
"11796","West Sayville","Suffolk","Standard"
"11797","Woodbury","Nassau","Standard"
"11798","Wyandanch","Suffolk","Standard"
"11801","Hicksville","Nassau","Standard"
"11802","Hicksville","Nassau","P.O. Box"
"11803","Plainview","Nassau","Standard"
"11804","Old Bethpage","Nassau","Standard"
"11815","Hicksville","Nassau","Unique"
"11853","Jericho","Nassau","Unique"
"11901","Riverhead","Suffolk","Standard"
"11930","Amagansett","Suffolk","P.O. Box"
"11931","Aquebogue","Suffolk","P.O. Box"
"11932","Bridgehampton","Suffolk","P.O. Box"
"11933","Calverton","Suffolk","Standard"
"11934","Center Moriches","Suffolk","Standard"
"11935","Cutchogue","Suffolk","Standard"
"11937","East Hampton","Suffolk","Standard"
"11939","East Marion","Suffolk","Standard"
"11940","East Moriches","Suffolk","Standard"
"11941","Eastport","Suffolk","Standard"
"11942","East Quogue","Suffolk","Standard"
"11944","Greenport","Suffolk","Standard"
"11946","Hampton Bays","Suffolk","Standard"
"11947","Jamesport","Suffolk","P.O. Box"
"11948","Laurel","Suffolk","Standard"
"11949","Manorville","Suffolk","Standard"
"11950","Mastic","Suffolk","Standard"
"11951","Mastic Beach","Suffolk","Standard"
"11952","Mattituck","Suffolk","Standard"
"11953","Middle Island","Suffolk","Standard"
"11954","Montauk","Suffolk","Standard"
"11955","Moriches","Suffolk","Standard"
"11956","New Suffolk","Suffolk","P.O. Box"
"11957","Orient","Suffolk","Standard"
"11958","Peconic","Suffolk","Standard"
"11959","Quogue","Suffolk","P.O. Box"
"11960","Remsenburg","Suffolk","P.O. Box"
"11961","Ridge","Suffolk","Standard"
"11962","Sagaponack","Suffolk","P.O. Box"
"11963","Sag Harbor","Suffolk","Standard"
"11964","Shelter Island","Suffolk","P.O. Box"
"11965","Shelter Island Heights","Suffolk","P.O. Box"
"11967","Shirley","Suffolk","Standard"
"11968","Southampton","Suffolk","Standard"
"11969","Southampton","Suffolk","P.O. Box"
"11970","South Jamesport","Suffolk","P.O. Box"
"11971","Southold","Suffolk","Standard"
"11972","Speonk","Suffolk","P.O. Box"
"11973","Upton","Suffolk","P.O. Box"
"11975","Wainscott","Suffolk","P.O. Box"
"11976","Water Mill","Suffolk","Standard"
"11977","Westhampton","Suffolk","Standard"
"11978","Westhampton Beach","Suffolk","Standard"
"11980","Yaphank","Suffolk","Standard"
"12007","Alcove","Albany","Standard"
"12008","Alplaus","Schenectady","Standard"
"12009","Altamont","Albany","Standard"
"12010","Amsterdam","Montgomery","Standard"
"12015","Athens","Greene","Standard"
"12016","Auriesville","Montgomery","Standard"
"12017","Austerlitz","Columbia","Standard"
"12018","Averill Park","Rensselaer","Standard"
"12019","Ballston Lake","Saratoga","Standard"
"12020","Ballston Spa","Saratoga","Standard"
"12022","Berlin","Rensselaer","Standard"
"12023","Berne","Albany","Standard"
"12024","Brainard","Rensselaer","Standard"
"12025","Broadalbin","Fulton","Standard"
"12027","Burnt Hills","Saratoga","Standard"
"12028","Buskirk","Washington","Standard"
"12029","Canaan","Columbia","Standard"
"12031","Carlisle","Schoharie","Standard"
"12032","Caroga Lake","Fulton","Standard"
"12033","Castleton On Hudson","Rensselaer","Standard"
"12035","Central Bridge","Schoharie","Standard"
"12036","Charlotteville","Schoharie","Standard"
"12037","Chatham","Columbia","Standard"
"12040","Cherry Plain","Rensselaer","P.O. Box"
"12041","Clarksville","Albany","Standard"
"12042","Climax","Greene","Standard"
"12043","Cobleskill","Schoharie","Standard"
"12045","Coeymans","Albany","P.O. Box"
"12046","Coeymans Hollow","Albany","Standard"
"12047","Cohoes","Albany","Standard"
"12050","Columbiaville","Columbia","P.O. Box"
"12051","Coxsackie","Greene","Standard"
"12052","Cropseyville","Rensselaer","Standard"
"12053","Delanson","Schenectady","Standard"
"12054","Delmar","Albany","Standard"
"12055","Dormansville","Albany","Standard"
"12056","Duanesburg","Schenectady","Standard"
