"OBJECTID","PERMIT_TYPE","DBA","CAMIS","APPROVED_SIDEWALK","APPROVED_ROAD","SUBMISSION_DATE1"
11270,"sidewalk","Phil's Restaurant & Pizzeria Inc","40384115","yes","no",07-OCT-20
3913,"both","La Mela Ristorante Italiano Inc.","40384188","yes","yes",22-JUN-20
894,"both","Friend of a Farmer","40384340","yes","yes",19-JUN-20
10095,"both","Veselka Enterprises","40384528","yes","yes",10-AUG-20
6945,"roadway","Veselka Enterprises","40384528","no","yes",02-JUL-20
10012,"sidewalk","Chez Josephine LTD","40384671","yes","no",07-AUG-20
7801,"roadway","Victory Sweet Shop Ltd","40384920","no","yes",08-JUL-20
7804,"both","VICTORY SWEET SHOP LTD","40384920","yes","yes",08-JUL-20
1102,"both","VICTORY SWEET SHOP LTD","40384920","yes","yes",19-JUN-20
4442,"both","Cappuccino Cafe","40385057","yes","yes",23-JUN-20
626,"both","Pangea","40385157","yes","yes",19-JUN-20
8131,"both","Automatic Slims Inc","40385161","yes","yes",12-JUL-20
6782,"both","Cloister Cafe","40385461","yes","yes",01-JUL-20
3644,"both","Jimbo's Hamburgers place","40385515","yes","yes",22-JUN-20
4385,"roadway","Lattanzi Restaurant","40385580","no","yes",23-JUN-20
7610,"openstreets","Lattanzi Restaurant","40385580","no","no",07-JUL-20
3490,"sidewalk","Sam�s Place","40385582","yes","no",22-JUN-20
6322,"both","Island","40385587","yes","yes",29-JUN-20
519,"roadway","Island","40385587","no","yes",19-JUN-20
4788,"sidewalk","salumeria biellese","40385693","yes","no",24-JUN-20
9377,"roadway","Salumeria Biellese inc","40385693","no","yes",27-JUL-20
9378,"both","salumeria biellese","40385693","yes","yes",27-JUL-20
2041,"sidewalk","Park Plaza Restaurant Inc.","40385774","yes","no",20-JUN-20
5186,"both","sam's place","40385852","yes","yes",24-JUN-20
10929,"sidewalk","RAY'S PIZZA","40385873","yes","no",11-SEP-20
1302,"sidewalk","Hunter's Steak & Ale House","40385885","yes","no",19-JUN-20
153,"sidewalk","Primola Restaurant","40386001","yes","no",19-JUN-20
138,"sidewalk","Firewater Inn Corp","40386147","yes","no",19-JUN-20
3984,"both","Pizza Plus","40386303","yes","yes",22-JUN-20
7905,"both","Niles Restaurant","40386340","yes","yes",09-JUL-20
2310,"both","best nv restaurant corp","40386425","yes","yes",20-JUN-20
