"CAMIS","DBA","BUILDING","STREET","BORO","ZIPCODE","PHONE","CUISINE_DESC","STREET1"
"41669951","YORK COLLEGE CAFETERIA","9420","GUY R BREWER BOULEVARD","0","11451","7182622890","American","9420 GUY R BREWER BOULEVARD"
"41664706","DELICIAS PIZZA AND CHICKEN","14120","HOLLY AVE","0","","7183535070","Pizza","14120 HOLLY AVE"
"41720552","DUNKIN', BASKIN ROBBINS, POPEYES","N/A","N/A","0","N/A","7182576490","American","N/A N/A"
"41406318","EL NUEVO BOHIO TROPICAL","N/A","N/A","0","N/A","7184094442","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","N/A N/A"
"41539237","ENERGY FUEL","N/A","N/A","0","","7184563835","American","N/A N/A"
"50090588","PAPA JOHNS","N/A","N/A","0","N/A","7182080127","Pizza","N/A N/A"
"41633655","WOODSIDE CAFE RESTAURANT","N/A","N/A","0","N/A","3476423445","Indian","N/A N/A"
"50060759","MET LIFE TEA BAR","200","PARK AVE","0","10166","6462999383","Café/Coffee/Tea","200 PARK AVE"
"50005059","FREEHOLD","45","S 3RD ST","0","11249","7183887591","American","45 S 3RD ST"
"41391832","HARD ROCK CAFE","0","161 STREET & RIVER AVENUE","Bronx","","6469778888","American","0 161 STREET & RIVER AVENUE"
"50017419","MOTT HAVEN BAR & GRILL","2412","3 AVENUE","Bronx","10454","7186652001","American","2412 3 AVENUE"
"50043592","Double Dutch Espresso","2424","3 AVENUE","Bronx","10454","3478622201","Café/Coffee/Tea","2424 3 AVENUE"
"50018010","PANDORA","2501","3 AVENUE","Bronx","10451","6467042605","American","2501 3 AVENUE"
"50073996","GUN HILL TAVERN","2515","3 AVENUE","Bronx","10451","7184020808","Sandwiches","2515 3 AVENUE"
"41519383","BALIMAYA RESTAURANT","2535","3 AVENUE","Bronx","10451","7184011122","African","2535 3 AVENUE"
"50072215","FRESHLY MADE","2535","3 AVENUE","Bronx","10451","9173630431","Juice, Smoothies, Fruit Salads","2535 3 AVENUE"
"41163361","ANGIE'S CAFE PIZZA","2559","3 AVENUE","Bronx","10451","7182923606","Pizza","2559 3 AVENUE"
"50075543","FOO HING KITCHEN","2706","3 AVENUE","Bronx","10454","7186657593","Chinese","2706 3 AVENUE"
"50001301","JS PERRY'S DINER","2783","3 AVENUE","Bronx","10455","7182924385","American","2783 3 AVENUE"
"50076721","AUNTIE ANNE'S / CINNABON","2857","3 AVENUE","Bronx","10455","3152254750","Hotdogs/Pretzels","2857 3 AVENUE"
"41262493","MCDONALD'S","2870","3 AVENUE","Bronx","10455","7186655373","Hamburgers","2870 3 AVENUE"
"50015747","NEW CHINA RESTAURANT WANG","3035","3 AVENUE","Bronx","10455","7182922493","Chinese","3035 3 AVENUE"
"41716268","KENNEDY FRIED CHICKEN","3042","3 AVENUE","Bronx","10451","9173764215","Chicken","3042 3 AVENUE"
"50004682","I LOVE PIZZA","3075","3 AVENUE","Bronx","10451","7182925503","Pizza","3075 3 AVENUE"
"50002062","K & L RESTAURANT AND CATERING SERVICE","3204","3 AVENUE","Bronx","10451","9176318398","Caribbean","3204 3 AVENUE"
